id,english_term,target_term,hindi_term,english_sentence,target_sentence,hindi_sentence,target_lang,source,needs_manual_review
doi_raw_Electrician (Tr_0039,live wire,लाइव तार,,TASK 2: Rescue and treat a person in contact with live wire,TASK 2: Rescue and treat a person in contact with लाइव तार,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0279,earthing,अर्थिंग,,TASK 2 : Connect and test the protective multiple earthing (PME) circuit,TASK 2 : Connect and test the protective multiple अर्थिंग (PME) circuit,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0025,voltage,वोल्टेज,,"96 Demonstrate maintenance of AC/DC machines, voltage stabilizer","96 Demonstrate maintenance of AC/DC machines, वोल्टेज stabilizer",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0002,voltage,वोल्टेज,,06 To measure the voltage & current in series and parallel circuit 11,06 To measure the वोल्टेज & current in series and parallel circuit 11,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0216,megger,मेगर,,4 Conduct earth continuity and earth leakage test of wiring with megger,4 Conduct earth continuity and earth leakage test of wiring with मेगर,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0311,voltmeter,वोल्टमीटर,,6 Open the switch ‘S’ and observe the voltmeter reading,6 Open the switch ‘S’ and observe the वोल्टमीटर reading,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0034,voltage,वोल्टेज,,"6 Practice the use and safe handling of multi meter by measuring the AC & DC voltage, resistance and continuity","6 Practice the use and safe handling of multi meter by measuring the AC & DC वोल्टेज, resistance and continuity",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0038,voltage,वोल्टेज,,vel of voltage & frequency in main supply p,vel of वोल्टेज & frequency in main supply p,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0283,voltage,वोल्टेज,,disconnection of neutral wire and measure the voltage and current in the,disconnection of neutral wire and measure the वोल्टेज and current in the,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0005,voltage,वोल्टेज,,18 To charge lead acid battery by constant voltage & constant current method 33,18 To charge lead acid battery by constant वोल्टेज & constant current method 33,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0240,fuse,फ्यूज,,3 Calculate current rating of main switch fuse and main d,3 Calculate current rating of main switch फ्यूज and main d,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0094,resistance,प्रतिरोध,,"otal resistance, current and voltage","otal प्रतिरोध, current and voltage",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0103,voltage,वोल्टेज,,Total voltage (V) = Ir1+Ir2+Ir3+,Total वोल्टेज (V) = Ir1+Ir2+Ir3+,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0179,voltage,वोल्टेज,,• charge the battery by constant voltage method,• charge the battery by constant वोल्टेज method,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0200,resistance,प्रतिरोध,,ce the potentiometer resistance step by step and record the voltage & current in each step,ce the potentiometer प्रतिरोध step by step and record the voltage & current in each step,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0107,resistance,प्रतिरोध,,nown resistance using the W,nown प्रतिरोध using the W,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0272,earthing,अर्थिंग,,• connect and test the protective multiple earthing (PME),• connect and test the protective multiple अर्थिंग (PME),,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0085,ammeter,अमीटर,,4 Note down voltmeter & Ammeter readings,4 Note down voltmeter & अमीटर readings,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0156,voltage,वोल्टेज,,TASK 2: Connect the cells in parallel and test the voltage & current,TASK 2: Connect the cells in parallel and test the वोल्टेज & current,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0032,circuit breaker,सर्किट ब्रेकर,,116 Practice on repair and maintenance of circuit breaker 322,116 Practice on repair and maintenance of सर्किट ब्रेकर 322,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0261,resistance,प्रतिरोध,,8 Press the test button of earth tester note the resistance value recorded in earth tester,8 Press the test button of earth tester note the प्रतिरोध value recorded in earth tester,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0082,voltmeter,वोल्टमीटर,,"Voltmeter MI, 250 V - 2 Nos","वोल्टमीटर MI, 250 V - 2 Nos",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0124,voltage,वोल्टेज,,Applied voltage,Applied वोल्टेज,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0073,voltage,वोल्टेज,,Fixed Voltage (V) Variable Resistance (R) Current (I) I = V/R,Fixed वोल्टेज (V) Variable Resistance (R) Current (I) I = V/R,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0084,voltmeter,वोल्टमीटर,,4 Note down voltmeter & Ammeter readings,4 Note down वोल्टमीटर & Ammeter readings,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0208,cable,केबल,,re / cable in wire gauge,re / केबल in wire gauge,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0121,voltage,वोल्टेज,,4 Keep the voltage control k,4 Keep the वोल्टेज control k,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0081,resistance,प्रतिरोध,,"• measure the voltage, current and resistance value in se","• measure the voltage, current and प्रतिरोध value in se",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0233,fuse,फ्यूज,,4 Simulate the short circuit fault in the circuit and observe the fuse blowing,4 Simulate the short circuit fault in the circuit and observe the फ्यूज blowing,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0278,earthing,अर्थिंग,,2 Identify and test the earthing installation/s for working c,2 Identify and test the अर्थिंग installation/s for working c,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0312,voltmeter,वोल्टमीटर,,to position 2 and observe the Close the switch S to position 2 and observe the voltmeter,to position 2 and observe the Close the switch S to position 2 and observe the वोल्टमीटर,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0184,voltage,वोल्टेज,,rging voltage & battery voltage and wait unt,rging वोल्टेज & battery वोल्टेज and wait unt,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0232,voltage,वोल्टेज,,3 Connect the glass fuse in low voltage circuit,3 Connect the glass fuse in low वोल्टेज circuit,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0069,voltmeter,वोल्टमीटर,,4 Note down the voltmeter & Ammeter readings in each s,4 Note down the वोल्टमीटर & Ammeter readings in each s,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0052,voltage,वोल्टेज,,"measure the voltage, current & resistance in electrical c","measure the वोल्टेज, current & resistance in electrical c",,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0277,neutral wire,न्यूट्रल तार,,failure/break of main supply neutral wire,failure/break of main supply न्यूट्रल तार,,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
doi_raw_Electrician (Tr_0155,ammeter,अमीटर,,• DC milli Ammeter (500 mA),• DC milli अमीटर (500 mA),,doi_Deva,data/raw/Electrician (Trade Practical).txt,True
