id,english_term,target_term,hindi_term,english_sentence,target_sentence,hindi_sentence,target_lang,source,needs_manual_review
gom_raw_Electrician (Tr_0039,live wire,लाइव वायर,,TASK 2: Rescue and treat a person in contact with live wire,TASK 2: Rescue and treat a person in contact with लाइव वायर,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0279,earthing,अर्थिंग,,TASK 2 : Connect and test the protective multiple earthing (PME) circuit,TASK 2 : Connect and test the protective multiple अर्थिंग (PME) circuit,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0025,voltage,व्होल्टेज,,"96 Demonstrate maintenance of AC/DC machines, voltage stabilizer","96 Demonstrate maintenance of AC/DC machines, व्होल्टेज stabilizer",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0002,voltage,व्होल्टेज,,06 To measure the voltage & current in series and parallel circuit 11,06 To measure the व्होल्टेज & current in series and parallel circuit 11,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0216,megger,मेगर,,4 Conduct earth continuity and earth leakage test of wiring with megger,4 Conduct earth continuity and earth leakage test of wiring with मेगर,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0311,voltmeter,व्होल्टमीटर,,6 Open the switch ‘S’ and observe the voltmeter reading,6 Open the switch ‘S’ and observe the व्होल्टमीटर reading,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0034,voltage,व्होल्टेज,,"6 Practice the use and safe handling of multi meter by measuring the AC & DC voltage, resistance and continuity","6 Practice the use and safe handling of multi meter by measuring the AC & DC व्होल्टेज, resistance and continuity",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0038,voltage,व्होल्टेज,,vel of voltage & frequency in main supply p,vel of व्होल्टेज & frequency in main supply p,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0283,voltage,व्होल्टेज,,disconnection of neutral wire and measure the voltage and current in the,disconnection of neutral wire and measure the व्होल्टेज and current in the,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0005,voltage,व्होल्टेज,,18 To charge lead acid battery by constant voltage & constant current method 33,18 To charge lead acid battery by constant व्होल्टेज & constant current method 33,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0240,fuse,फ्यूज,,3 Calculate current rating of main switch fuse and main d,3 Calculate current rating of main switch फ्यूज and main d,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0094,resistance,प्रतिकार,,"otal resistance, current and voltage","otal प्रतिकार, current and voltage",,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0103,voltage,व्होल्टेज,,Total voltage (V) = Ir1+Ir2+Ir3+,Total व्होल्टेज (V) = Ir1+Ir2+Ir3+,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0179,voltage,व्होल्टेज,,• charge the battery by constant voltage method,• charge the battery by constant व्होल्टेज method,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0200,resistance,प्रतिकार,,ce the potentiometer resistance step by step and record the voltage & current in each step,ce the potentiometer प्रतिकार step by step and record the voltage & current in each step,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0107,resistance,प्रतिकार,,nown resistance using the W,nown प्रतिकार using the W,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0272,earthing,अर्थिंग,,• connect and test the protective multiple earthing (PME),• connect and test the protective multiple अर्थिंग (PME),,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0085,ammeter,अमीटर,,4 Note down voltmeter & Ammeter readings,4 Note down voltmeter & अमीटर readings,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0156,voltage,व्होल्टेज,,TASK 2: Connect the cells in parallel and test the voltage & current,TASK 2: Connect the cells in parallel and test the व्होल्टेज & current,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0032,circuit breaker,सर्किट ब्रेकर,,116 Practice on repair and maintenance of circuit breaker 322,116 Practice on repair and maintenance of सर्किट ब्रेकर 322,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
gom_raw_Electrician (Tr_0261,resistance,प्रतिकार,,8 Press the test button of earth tester note the resistance value recorded in earth tester,8 Press the test button of earth tester note the प्रतिकार value recorded in earth tester,,gom_Deva,data/raw/Electrician (Trade Practical).txt,True
