language_code,language_name,bleu,chrf,metric_backend,translation_backend,num_sentences,data_source
asm_Beng,Assamese,100.0,84.1185,fallback_overlap,fallback,5,bundled_smoke_test
ben_Beng,Bengali,100.0,85.2648,fallback_overlap,fallback,5,bundled_smoke_test
brx_Deva,Bodo,100.0,82.3423,fallback_overlap,fallback,5,bundled_smoke_test
doi_Deva,Dogri,92.1429,76.4751,fallback_overlap,fallback,5,bundled_smoke_test
guj_Gujr,Gujarati,100.0,83.0547,fallback_overlap,fallback,5,bundled_smoke_test
hin_Deva,Hindi,26.2222,44.2117,fallback_overlap,fallback,5,bundled_smoke_test
kan_Knda,Kannada,100.0,83.7868,fallback_overlap,fallback,5,bundled_smoke_test
kas_Arab,Kashmiri,100.0,85.2648,fallback_overlap,fallback,5,bundled_smoke_test
gom_Deva,Konkani,92.1429,77.0585,fallback_overlap,fallback,5,bundled_smoke_test
mai_Deva,Maithili,92.1429,76.9311,fallback_overlap,fallback,5,bundled_smoke_test
mal_Mlym,Malayalam,100.0,83.7513,fallback_overlap,fallback,5,bundled_smoke_test
mni_Mtei,Manipuri,100.0,84.8977,fallback_overlap,fallback,5,bundled_smoke_test
mar_Deva,Marathi,100.0,83.4062,fallback_overlap,fallback,5,bundled_smoke_test
npi_Deva,Nepali,100.0,82.6741,fallback_overlap,fallback,5,bundled_smoke_test
ory_Orya,Odia,100.0,84.499,fallback_overlap,fallback,5,bundled_smoke_test
pan_Guru,Punjabi,100.0,83.7803,fallback_overlap,fallback,5,bundled_smoke_test
san_Deva,Sanskrit,100.0,83.7734,fallback_overlap,fallback,5,bundled_smoke_test
sat_Olck,Santali,100.0,85.2648,fallback_overlap,fallback,5,bundled_smoke_test
snd_Arab,Sindhi,100.0,83.4062,fallback_overlap,fallback,5,bundled_smoke_test
tam_Taml,Tamil,100.0,84.8977,fallback_overlap,fallback,5,bundled_smoke_test
tel_Telu,Telugu,100.0,85.2963,fallback_overlap,fallback,5,bundled_smoke_test
urd_Arab,Urdu,100.0,83.4352,fallback_overlap,fallback,5,bundled_smoke_test
