language_code,language_name,bleu,chrf,metric_backend,translation_backend,num_sentences,data_source
asm_Beng,Assamese,0.0,0.0,sacrebleu,indictrans2,5,bundled_sample_eval
ben_Beng,Bengali,0.0,0.0,sacrebleu,indictrans2,5,bundled_sample_eval
brx_Deva,Bodo,2.5625,11.2345,sacrebleu,indictrans2,5,bundled_sample_eval
doi_Deva,Dogri,0.0,0.0,sacrebleu,indictrans2,5,bundled_sample_eval
guj_Gujr,Gujarati,1.417,0.4077,sacrebleu,indictrans2,5,bundled_sample_eval
hin_Deva,Hindi,49.5951,76.5963,sacrebleu,indictrans2,5,bundled_sample_eval
kan_Knda,Kannada,1.4314,0.3964,sacrebleu,indictrans2,5,bundled_sample_eval
kas_Arab,Kashmiri,0.0,0.0,sacrebleu,indictrans2,5,bundled_sample_eval
gom_Deva,Konkani,1.4659,0.4026,sacrebleu,indictrans2,5,bundled_sample_eval
mai_Deva,Maithili,50.222,77.9184,sacrebleu,indictrans2,5,bundled_sample_eval
mal_Mlym,Malayalam,1.4288,0.3791,sacrebleu,indictrans2,5,bundled_sample_eval
mni_Mtei,Manipuri,2.5625,11.2345,sacrebleu,indictrans2,5,bundled_sample_eval
mar_Deva,Marathi,1.4314,0.4085,sacrebleu,indictrans2,5,bundled_sample_eval
npi_Deva,Nepali,0.0,0.0,sacrebleu,indictrans2,5,bundled_sample_eval
ory_Orya,Odia,0.0,0.0,sacrebleu,indictrans2,5,bundled_sample_eval
pan_Guru,Punjabi,1.3127,0.3278,sacrebleu,indictrans2,5,bundled_sample_eval
san_Deva,Sanskrit,0.0,0.0,sacrebleu,indictrans2,5,bundled_sample_eval
sat_Olck,Santali,2.5625,11.2345,sacrebleu,indictrans2,5,bundled_sample_eval
snd_Arab,Sindhi,1.3457,2.1999,sacrebleu,indictrans2,5,bundled_sample_eval
tam_Taml,Tamil,2.6077,5.8517,sacrebleu,indictrans2,5,bundled_sample_eval
tel_Telu,Telugu,1.4314,0.3901,sacrebleu,indictrans2,5,bundled_sample_eval
urd_Arab,Urdu,0.8815,0.0808,sacrebleu,indictrans2,5,bundled_sample_eval
