id,english_term,target_term,hindi_term,english_sentence,target_sentence,hindi_sentence,target_lang,source,needs_manual_review
hi_raw_Electrician (Tr_0039,live wire,लाइव तार,लाइव तार,TASK 2: Rescue and treat a person in contact with live wire,TASK 2: Rescue and treat a person in contact with लाइव तार,TASK 2: Rescue and treat a person in contact with लाइव तार,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0279,earthing,अर्थिंग,अर्थिंग,TASK 2 : Connect and test the protective multiple earthing (PME) circuit,TASK 2 : Connect and test the protective multiple अर्थिंग (PME) circuit,TASK 2 : Connect and test the protective multiple अर्थिंग (PME) circuit,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0025,voltage,वोल्टेज,वोल्टेज,"96 Demonstrate maintenance of AC/DC machines, voltage stabilizer","96 Demonstrate maintenance of AC/DC machines, वोल्टेज stabilizer","96 Demonstrate maintenance of AC/DC machines, वोल्टेज stabilizer",hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0002,voltage,वोल्टेज,वोल्टेज,06 To measure the voltage & current in series and parallel circuit 11,06 To measure the वोल्टेज & current in series and parallel circuit 11,06 To measure the वोल्टेज & current in series and parallel circuit 11,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0216,megger,मेगर,मेगर,4 Conduct earth continuity and earth leakage test of wiring with megger,4 Conduct earth continuity and earth leakage test of wiring with मेगर,4 Conduct earth continuity and earth leakage test of wiring with मेगर,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0311,voltmeter,वोल्टमीटर,वोल्टमीटर,6 Open the switch ‘S’ and observe the voltmeter reading,6 Open the switch ‘S’ and observe the वोल्टमीटर reading,6 Open the switch ‘S’ and observe the वोल्टमीटर reading,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0034,voltage,वोल्टेज,वोल्टेज,"6 Practice the use and safe handling of multi meter by measuring the AC & DC voltage, resistance and continuity","6 Practice the use and safe handling of multi meter by measuring the AC & DC वोल्टेज, resistance and continuity","6 Practice the use and safe handling of multi meter by measuring the AC & DC वोल्टेज, resistance and continuity",hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0038,voltage,वोल्टेज,वोल्टेज,vel of voltage & frequency in main supply p,vel of वोल्टेज & frequency in main supply p,vel of वोल्टेज & frequency in main supply p,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0283,voltage,वोल्टेज,वोल्टेज,disconnection of neutral wire and measure the voltage and current in the,disconnection of neutral wire and measure the वोल्टेज and current in the,disconnection of neutral wire and measure the वोल्टेज and current in the,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0005,voltage,वोल्टेज,वोल्टेज,18 To charge lead acid battery by constant voltage & constant current method 33,18 To charge lead acid battery by constant वोल्टेज & constant current method 33,18 To charge lead acid battery by constant वोल्टेज & constant current method 33,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0240,fuse,फ्यूज,फ्यूज,3 Calculate current rating of main switch fuse and main d,3 Calculate current rating of main switch फ्यूज and main d,3 Calculate current rating of main switch फ्यूज and main d,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0094,resistance,प्रतिरोध,प्रतिरोध,"otal resistance, current and voltage","otal प्रतिरोध, current and voltage","otal प्रतिरोध, current and voltage",hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0103,voltage,वोल्टेज,वोल्टेज,Total voltage (V) = Ir1+Ir2+Ir3+,Total वोल्टेज (V) = Ir1+Ir2+Ir3+,Total वोल्टेज (V) = Ir1+Ir2+Ir3+,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0179,voltage,वोल्टेज,वोल्टेज,• charge the battery by constant voltage method,• charge the battery by constant वोल्टेज method,• charge the battery by constant वोल्टेज method,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0200,resistance,प्रतिरोध,प्रतिरोध,ce the potentiometer resistance step by step and record the voltage & current in each step,ce the potentiometer प्रतिरोध step by step and record the voltage & current in each step,ce the potentiometer प्रतिरोध step by step and record the voltage & current in each step,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0107,resistance,प्रतिरोध,प्रतिरोध,nown resistance using the W,nown प्रतिरोध using the W,nown प्रतिरोध using the W,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0272,earthing,अर्थिंग,अर्थिंग,• connect and test the protective multiple earthing (PME),• connect and test the protective multiple अर्थिंग (PME),• connect and test the protective multiple अर्थिंग (PME),hin_Deva,data/raw/Electrician (Trade Practical).txt,True
hi_raw_Electrician (Tr_0085,ammeter,अमीटर,अमीटर,4 Note down voltmeter & Ammeter readings,4 Note down voltmeter & अमीटर readings,4 Note down voltmeter & अमीटर readings,hin_Deva,data/raw/Electrician (Trade Practical).txt,True
