id,english_term,target_term,hindi_term,english_sentence,target_sentence,hindi_sentence,target_lang,source,needs_manual_review
hi_seed_0100,cable,केबल,केबल,Use proper PPE while handling the cable.,केबल को संभालते समय उचित पीपीई का उपयोग करें।,केबल को संभालते समय उचित पीपीई का उपयोग करें।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0151,protective device,सुरक्षा उपकरण,सुरक्षा उपकरण,Check whether the protective device is securely connected.,जांचें कि सुरक्षा उपकरण सुरक्षित रूप से जुड़ा है या नहीं।,जांचें कि सुरक्षा उपकरण सुरक्षित रूप से जुड़ा है या नहीं।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0183,protective device,सुरक्षा उपकरण,सुरक्षा उपकरण,Check whether the protective device is securely connected.,जांचें कि सुरक्षा उपकरण सुरक्षित रूप से जुड़ा है या नहीं।,जांचें कि सुरक्षा उपकरण सुरक्षित रूप से जुड़ा है या नहीं।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0113,live wire,लाइव तार,लाइव तार,Inspect the live wire before starting the practical task.,व्यावहारिक कार्य शुरू करने से पहले लाइव तार की जांच करें।,व्यावहारिक कार्य शुरू करने से पहले लाइव तार की जांच करें।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0125,three phase,थ्री फेज,थ्री फेज,Replace the damaged three phase only after isolating the supply.,आपूर्ति अलग करने के बाद ही खराब थ्री फेज बदलें।,आपूर्ति अलग करने के बाद ही खराब थ्री फेज बदलें।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0174,insulation,इन्सुलेशन,इन्सुलेशन,Explain the purpose of insulation during wiring practice.,वायरिंग अभ्यास के दौरान इन्सुलेशन का उद्देश्य समझाएं।,वायरिंग अभ्यास के दौरान इन्सुलेशन का उद्देश्य समझाएं।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0185,safety shoes,सुरक्षा जूते,सुरक्षा जूते,Inspect the safety shoes before starting the practical task.,व्यावहारिक कार्य शुरू करने से पहले सुरक्षा जूते की जांच करें।,व्यावहारिक कार्य शुरू करने से पहले सुरक्षा जूते की जांच करें।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0166,circuit breaker,सर्किट ब्रेकर,सर्किट ब्रेकर,Explain the purpose of circuit breaker during wiring practice.,वायरिंग अभ्यास के दौरान सर्किट ब्रेकर का उद्देश्य समझाएं।,वायरिंग अभ्यास के दौरान सर्किट ब्रेकर का उद्देश्य समझाएं।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0078,insulation,इन्सुलेशन,इन्सुलेशन,Explain the purpose of insulation during wiring practice.,वायरिंग अभ्यास के दौरान इन्सुलेशन का उद्देश्य समझाएं।,वायरिंग अभ्यास के दौरान इन्सुलेशन का उद्देश्य समझाएं।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0103,conduit,कंड्यूट,कंड्यूट,Check whether the conduit is securely connected.,जांचें कि कंड्यूट सुरक्षित रूप से जुड़ा है या नहीं।,जांचें कि कंड्यूट सुरक्षित रूप से जुड़ा है या नहीं।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0204,electrical load,विद्युत भार,विद्युत भार,Use proper PPE while handling the electrical load.,विद्युत भार को संभालते समय उचित पीपीई का उपयोग करें।,विद्युत भार को संभालते समय उचित पीपीई का उपयोग करें।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0203,electric shock,बिजली का झटका,बिजली का झटका,Record the reading of the electric shock in the job sheet.,जॉब शीट में बिजली का झटका की रीडिंग दर्ज करें।,जॉब शीट में बिजली का झटका की रीडिंग दर्ज करें।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0178,main switch,मुख्य स्विच,मुख्य स्विच,The trainee must identify the correct main switch.,प्रशिक्षु को सही मुख्य स्विच की पहचान करनी चाहिए।,प्रशिक्षु को सही मुख्य स्विच की पहचान करनी चाहिए।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0234,earthing,अर्थिंग,अर्थिंग,The trainee must identify the correct earthing.,प्रशिक्षु को सही अर्थिंग की पहचान करनी चाहिए।,प्रशिक्षु को सही अर्थिंग की पहचान करनी चाहिए।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0187,switch board,स्विच बोर्ड,स्विच बोर्ड,Record the reading of the switch board in the job sheet.,जॉब शीट में स्विच बोर्ड की रीडिंग दर्ज करें।,जॉब शीट में स्विच बोर्ड की रीडिंग दर्ज करें।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0097,ac supply,एसी आपूर्ति,एसी आपूर्ति,Inspect the ac supply before starting the practical task.,व्यावहारिक कार्य शुरू करने से पहले एसी आपूर्ति की जांच करें।,व्यावहारिक कार्य शुरू करने से पहले एसी आपूर्ति की जांच करें।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0050,main switch,मुख्य स्विच,मुख्य स्विच,The trainee must identify the correct main switch.,प्रशिक्षु को सही मुख्य स्विच की पहचान करनी चाहिए।,प्रशिक्षु को सही मुख्य स्विच की पहचान करनी चाहिए।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0114,main switch,मुख्य स्विच,मुख्य स्विच,The trainee must identify the correct main switch.,प्रशिक्षु को सही मुख्य स्विच की पहचान करनी चाहिए।,प्रशिक्षु को सही मुख्य स्विच की पहचान करनी चाहिए।,hin_Deva,machine_seed_glossary_for_method_development,True
hi_seed_0006,circuit breaker,सर्किट ब्रेकर,सर्किट ब्रेकर,Explain the purpose of circuit breaker during wiring practice.,वायरिंग अभ्यास के दौरान सर्किट ब्रेकर का उद्देश्य समझाएं।,वायरिंग अभ्यास के दौरान सर्किट ब्रेकर का उद्देश्य समझाएं।,hin_Deva,machine_seed_glossary_for_method_development,True
