id,english_sentence,reference,baseline_prediction,fine_tuned_prediction,target_term
hi_seed_0144,Do not touch the leakage current with wet hands.,लीकेज करंट को गीले हाथों से न छुएं।,[fallback:hin_Deva] Do not touch the लीकेज करंट with wet hands.,[fallback:hin_Deva] Do not touch the लीकेज करंट with wet hands.,लीकेज करंट
hi_seed_0079,Check whether the junction box is securely connected.,जांचें कि जंक्शन बॉक्स सुरक्षित रूप से जुड़ा है या नहीं।,[fallback:hin_Deva] Check whether the जंक्शन बॉक्स is securely connected.,[fallback:hin_Deva] Check whether the जंक्शन बॉक्स is securely connected.,जंक्शन बॉक्स
hi_seed_0147,Record the reading of the megger in the job sheet.,जॉब शीट में मेगर की रीडिंग दर्ज करें।,[fallback:hin_Deva] Record the reading of the मेगर in the job sheet.,[fallback:hin_Deva] Record the reading of the मेगर in the job sheet.,मेगर
hi_seed_0031,Check whether the voltmeter is securely connected.,जांचें कि वोल्टमीटर सुरक्षित रूप से जुड़ा है या नहीं।,[fallback:hin_Deva] Check whether the वोल्टमीटर is securely connected.,[fallback:hin_Deva] Check whether the वोल्टमीटर is securely connected.,वोल्टमीटर
hi_seed_0139,Record the reading of the electric shock in the job sheet.,जॉब शीट में बिजली का झटका की रीडिंग दर्ज करें।,[fallback:hin_Deva] Record the reading of the बिजली का झटका in the job sheet.,[fallback:hin_Deva] Record the reading of the बिजली का झटका in the job sheet.,बिजली का झटका
hi_seed_0037,Replace the damaged capacitor only after isolating the supply.,आपूर्ति अलग करने के बाद ही खराब संधारित्र बदलें।,[fallback:hin_Deva] Replace the damaged संधारित्र only after isolating the supply.,[fallback:hin_Deva] Replace the damaged संधारित्र only after isolating the supply.,संधारित्र
hi_seed_0223,Check whether the voltmeter is securely connected.,जांचें कि वोल्टमीटर सुरक्षित रूप से जुड़ा है या नहीं।,[fallback:hin_Deva] Check whether the वोल्टमीटर is securely connected.,[fallback:hin_Deva] Check whether the वोल्टमीटर is securely connected.,वोल्टमीटर
hi_seed_0075,Record the reading of the electric shock in the job sheet.,जॉब शीट में बिजली का झटका की रीडिंग दर्ज करें।,[fallback:hin_Deva] Record the reading of the बिजली का झटका in the job sheet.,[fallback:hin_Deva] Record the reading of the बिजली का झटका in the job sheet.,बिजली का झटका
hi_seed_0035,Record the reading of the apprentice in the job sheet.,जॉब शीट में प्रशिक्षु की रीडिंग दर्ज करें।,[fallback:hin_Deva] Record the reading of the प्रशिक्षु in the job sheet.,[fallback:hin_Deva] Record the reading of the प्रशिक्षु in the job sheet.,प्रशिक्षु
hi_seed_0143,Check whether the junction box is securely connected.,जांचें कि जंक्शन बॉक्स सुरक्षित रूप से जुड़ा है या नहीं।,[fallback:hin_Deva] Check whether the जंक्शन बॉक्स is securely connected.,[fallback:hin_Deva] Check whether the जंक्शन बॉक्स is securely connected.,जंक्शन बॉक्स
